Country/Region,Month,Year,Daily_Positive_Cases
Afghanistan,1,2020,0.0
Afghanistan,2,2020,0.17
Afghanistan,3,2020,5.19
Afghanistan,4,2020,55.37
Afghanistan,5,2020,430.74
Afghanistan,6,2020,542.17
Afghanistan,7,2020,167.19
Afghanistan,8,2020,52.26
Afghanistan,9,2020,36.87
Afghanistan,10,2020,63.87
Afghanistan,11,2020,162.7
Afghanistan,12,2020,197.26
Afghanistan,1,2021,86.87
Afghanistan,2,2021,24.68
Afghanistan,3,2021,23.87
Afghanistan,4,2021,109.7
Afghanistan,5,2021,390.1
Afghanistan,6,2021,1560.7
Afghanistan,7,2021,919.19
Afghanistan,8,2021,195.68
Afghanistan,9,2021,65.13
Afghanistan,10,2021,34.71
Afghanistan,11,2021,34.63
Afghanistan,12,2021,25.65
Afghanistan,1,2022,156.19
Afghanistan,2,2022,383.32
Afghanistan,3,2022,131.87
Afghanistan,4,2022,37.73
Afghanistan,5,2022,47.35
Afghanistan,6,2022,72.7
Afghanistan,7,2022,103.9
Afghanistan,8,2022,241.97
Afghanistan,9,2022,197.93
Afghanistan,10,2022,125.0
Afghanistan,11,2022,94.8
Afghanistan,12,2022,53.29
Afghanistan,1,2023,31.81
Afghanistan,2,2023,27.75
Afghanistan,3,2023,14.33
Albania,1,2020,0.0
Albania,2,2020,0.0
Albania,3,2020,7.84
Albania,4,2020,17.67
Albania,5,2020,11.74
Albania,6,2020,46.6
Albania,7,2020,88.42
Albania,8,2020,136.68
Albania,9,2020,137.87
Albania,10,2020,233.1
Albania,11,2020,576.9
Albania,12,2020,649.48
Albania,1,2021,639.06
Albania,2,2021,1037.14
Albania,3,2021,580.32
Albania,4,2021,197.6
Albania,5,2021,39.68
Albania,6,2021,6.87
Albania,7,2021,18.06
Albania,8,2021,429.23
Albania,9,2021,791.47
Albania,10,2021,489.32
Albania,11,2021,488.17
Albania,12,2021,331.58
Albania,1,2022,1558.68
Albania,2,2022,465.0
Albania,3,2022,68.19
Albania,4,2022,47.67
Albania,5,2022,32.06
Albania,6,2022,158.33
Albania,7,2022,1007.94
Albania,8,2022,556.61
Albania,9,2022,95.63
Albania,10,2022,24.03
Albania,11,2022,12.57
Albania,12,2022,14.94
Albania,1,2023,11.65
Albania,2,2023,8.0
Albania,3,2023,7.33
Algeria,1,2020,0.0
Algeria,2,2020,0.03
Algeria,3,2020,23.06
Algeria,4,2020,109.67
Algeria,5,2020,173.81
Algeria,6,2020,150.43
Algeria,7,2020,531.84
Algeria,8,2020,454.84
Algeria,9,2020,234.53
Algeria,10,2020,206.84
Algeria,11,2020,841.9
Algeria,12,2020,529.39
Algeria,1,2021,249.32
Algeria,2,2021,205.46
Algeria,3,2021,132.26
Algeria,4,2021,163.87
Algeria,5,2021,219.52
Algeria,6,2021,357.1
Algeria,7,2021,1024.71
Algeria,8,2021,796.39
Algeria,9,2021,242.63
Algeria,10,2021,99.77
Algeria,11,2021,135.97
Algeria,12,2021,254.87
Algeria,1,2022,1086.61
Algeria,2,2022,457.82
Algeria,3,2022,23.71
Algeria,4,2022,3.63
Algeria,5,2022,3.35
Algeria,6,2022,6.77
Algeria,7,2022,44.1
Algeria,8,2022,91.94
Algeria,9,2022,12.3
Algeria,10,2022,5.32
Algeria,11,2022,8.4
Algeria,12,2022,4.45
Algeria,1,2023,4.84
Algeria,2,2023,2.25
Algeria,3,2023,6.11
Andorra,1,2020,0.0
Andorra,2,2020,0.0
Andorra,3,2020,12.13
Andorra,4,2020,12.3
Andorra,5,2020,0.61
Andorra,6,2020,3.03
Andorra,7,2020,2.26
Andorra,8,2020,8.1
Andorra,9,2020,29.13
Andorra,10,2020,87.29
Andorra,11,2020,66.3
Andorra,12,2020,42.06
Andorra,1,2021,60.9
Andorra,2,2021,33.18
Andorra,3,2021,36.9
Andorra,4,2021,40.73
Andorra,5,2021,15.97
Andorra,6,2021,6.13
Andorra,7,2021,24.74
Andorra,8,2021,11.45
Andorra,9,2021,6.3
Andorra,10,2021,9.48
Andorra,11,2021,53.3
Andorra,12,2021,213.71
Andorra,1,2022,394.13
Andorra,2,2022,72.89
Andorra,3,2022,65.32
Andorra,4,2022,44.17
Andorra,5,2022,49.84
Andorra,6,2022,29.33
Andorra,7,2022,55.94
Andorra,8,2022,16.74
Andorra,9,2022,6.67
Andorra,10,2022,9.94
Andorra,11,2022,22.8
Andorra,12,2022,17.16
Andorra,1,2023,2.84
Andorra,2,2023,0.96
Andorra,3,2023,2.67
Angola,1,2020,0.0
Angola,2,2020,0.0
Angola,3,2020,0.23
Angola,4,2020,0.67
Angola,5,2020,1.9
Angola,6,2020,6.6
Angola,7,2020,27.87
Angola,8,2020,48.58
Angola,9,2020,77.27
Angola,10,2020,188.16
Angola,11,2020,144.47
Angola,12,2020,77.87
Angola,1,2021,72.35
Angola,2,2021,36.11
Angola,3,2021,48.52
Angola,4,2021,144.7
Angola,5,2021,254.81
Angola,6,2021,143.27
Angola,7,2021,126.71
Angola,8,2021,153.77
Angola,9,2021,301.3
Angola,10,2021,253.23
Angola,11,2021,24.5
Angola,12,2021,529.84
Angola,1,2022,533.0
Angola,2,2022,22.32
Angola,3,2022,13.81
Angola,4,2022,3.93
Angola,5,2022,15.29
Angola,6,2022,51.97
Angola,7,2022,31.65
Angola,8,2022,10.81
Angola,9,2022,16.5
Angola,10,2022,0.0
Angola,11,2022,51.5
Angola,12,2022,13.52
Angola,1,2023,2.87
Angola,2,2023,2.54
Angola,3,2023,3.67
Antarctica,1,2020,0.0
Antarctica,2,2020,0.0
Antarctica,3,2020,0.0
Antarctica,4,2020,0.0
Antarctica,5,2020,0.0
Antarctica,6,2020,0.0
Antarctica,7,2020,0.0
Antarctica,8,2020,0.0
Antarctica,9,2020,0.0
Antarctica,10,2020,0.0
Antarctica,11,2020,0.0
Antarctica,12,2020,0.0
Antarctica,1,2021,0.0
Antarctica,2,2021,0.0
Antarctica,3,2021,0.0
Antarctica,4,2021,0.0
Antarctica,5,2021,0.0
Antarctica,6,2021,0.0
Antarctica,7,2021,0.0
Antarctica,8,2021,0.0
Antarctica,9,2021,0.0
Antarctica,10,2021,0.0
Antarctica,11,2021,0.0
Antarctica,12,2021,0.35
Antarctica,1,2022,0.0
Antarctica,2,2022,0.0
Antarctica,3,2022,0.0
Antarctica,4,2022,0.0
Antarctica,5,2022,0.0
Antarctica,6,2022,0.0
Antarctica,7,2022,0.0
Antarctica,8,2022,0.0
Antarctica,9,2022,0.0
Antarctica,10,2022,0.0
Antarctica,11,2022,0.0
Antarctica,12,2022,0.0
Antarctica,1,2023,0.0
Antarctica,2,2023,0.0
Antarctica,3,2023,0.0
Antigua and Barbuda,1,2020,0.0
Antigua and Barbuda,2,2020,0.0
Antigua and Barbuda,3,2020,0.23
Antigua and Barbuda,4,2020,0.57
Antigua and Barbuda,5,2020,0.06
Antigua and Barbuda,6,2020,1.43
Antigua and Barbuda,7,2020,0.71
Antigua and Barbuda,8,2020,0.1
Antigua and Barbuda,9,2020,0.23
Antigua and Barbuda,10,2020,0.87
Antigua and Barbuda,11,2020,0.43
Antigua and Barbuda,12,2020,0.58
Antigua and Barbuda,1,2021,2.42
Antigua and Barbuda,2,2021,17.71
Antigua and Barbuda,3,2021,13.1
Antigua and Barbuda,4,2021,3.2
Antigua and Barbuda,5,2021,0.9
Antigua and Barbuda,6,2021,0.1
Antigua and Barbuda,7,2021,1.29
Antigua and Barbuda,8,2021,13.29
Antigua and Barbuda,9,2021,50.53
Antigua and Barbuda,10,2021,26.68
Antigua and Barbuda,11,2021,2.77
Antigua and Barbuda,12,2021,4.58
Antigua and Barbuda,1,2022,75.61
Antigua and Barbuda,2,2022,28.93
Antigua and Barbuda,3,2022,1.74
Antigua and Barbuda,4,2022,4.5
Antigua and Barbuda,5,2022,20.23
Antigua and Barbuda,6,2022,12.93
Antigua and Barbuda,7,2022,4.26
Antigua and Barbuda,8,2022,6.48
Antigua and Barbuda,9,2022,4.13
Antigua and Barbuda,10,2022,0.26
Antigua and Barbuda,11,2022,0.0
Antigua and Barbuda,12,2022,0.0
Antigua and Barbuda,1,2023,0.0
Antigua and Barbuda,2,2023,0.0
Antigua and Barbuda,3,2023,0.0
Argentina,1,2020,0.0
Argentina,2,2020,0.0
Argentina,3,2020,34.0
Argentina,4,2020,112.47
Argentina,5,2020,400.74
Argentina,6,2020,1589.3
Argentina,7,2020,4089.42
Argentina,8,2020,7304.29
Argentina,9,2020,11108.87
Argentina,10,2020,13416.87
Argentina,11,2020,8586.97
Argentina,12,2020,6483.26
Argentina,1,2021,9733.06
Argentina,2,2021,6433.07
Argentina,3,2021,7788.9
Argentina,4,2021,20951.4
Argentina,5,2021,25949.06
Argentina,6,2021,22953.0
Argentina,7,2021,14819.03
Argentina,8,2021,8253.42
Argentina,9,2021,2376.07
Argentina,10,2021,1029.19
Argentina,11,2021,1398.03
Argentina,12,2021,10440.65
Argentina,1,2022,87878.97
Argentina,2,2022,18642.86
Argentina,3,2022,4427.58
Argentina,4,2022,1143.97
Argentina,5,2022,5107.84
Argentina,6,2022,4553.3
Argentina,7,2022,6230.16
Argentina,8,2022,3803.81
Argentina,9,2022,1006.5
Argentina,10,2022,337.26
Argentina,11,2022,279.07
Argentina,12,2022,5286.84
Argentina,1,2023,4709.55
Argentina,2,2023,249.64
Argentina,3,2023,92.44
Armenia,1,2020,0.0
Armenia,2,2020,0.0
Armenia,3,2020,17.16
Armenia,4,2020,51.13
Armenia,5,2020,232.77
Armenia,6,2020,542.0
Armenia,7,2020,419.61
Armenia,8,2020,168.74
Armenia,9,2020,219.27
Armenia,10,2020,1272.71
Armenia,11,2020,1510.37
Armenia,12,2020,783.39
Armenia,1,2021,245.71
Armenia,2,2021,179.71
Armenia,3,2021,663.9
Armenia,4,2021,780.83
Armenia,5,2021,213.1
Armenia,6,2021,80.83
Armenia,7,2021,161.77
Armenia,8,2021,387.9
Armenia,9,2021,652.07
Armenia,10,2021,1504.16
Armenia,11,2021,1006.4
Armenia,12,2021,206.84
Armenia,1,2022,737.58
Armenia,2,2022,1858.46
Armenia,3,2022,86.68
Armenia,4,2022,11.6
Armenia,5,2022,3.1
Armenia,6,2022,9.33
Armenia,7,2022,68.45
Armenia,8,2022,291.39
Armenia,9,2022,282.57
Armenia,10,2022,76.35
Armenia,11,2022,16.5
Armenia,12,2022,7.71
Armenia,1,2023,1.03
Armenia,2,2023,28.96
