Continent,Week,Year_Week,Mean_cases_Week,Stddev_Cases_Week,Min_Cases_Week,Max_Cases_Week
Africa,4,2020,0.0,0.0,0,0
Africa,5,2020,0.0,0.0,0,0
Africa,6,2020,0.0,0.0,0,0
Africa,7,2020,0.0,0.0,0,0
Africa,8,2020,0.0,0.0,0,0
Africa,9,2020,0.0,0.0,0,0
Africa,10,2020,0.2857,0.488,0,1
Africa,11,2020,3.2857,4.4987,0,13
Africa,12,2020,18.7143,14.127,4,36
Africa,13,2020,64.0,24.7588,31,103
Africa,14,2020,75.0,27.074,43,125
Africa,15,2020,44.7143,24.7838,24,91
Africa,16,2020,30.7143,15.9657,6,51
Africa,17,2020,13.2857,8.674,5,27
Africa,18,2020,11.5714,7.2309,4,22
Africa,19,2020,4.5714,1.1339,3,6
Africa,20,2020,2.5714,1.9024,1,6
Africa,21,2020,6.4286,3.7796,1,11
Africa,22,2020,24.2857,27.3235,3,77
Africa,23,2020,18.5714,11.2673,3,37
Africa,24,2020,20.7143,9.358,8,35
Africa,25,2020,29.5714,21.4465,11,71
Africa,26,2020,16.0,10.0499,2,32
Africa,27,2020,54.1429,31.7408,17,94
Africa,28,2020,73.2857,39.7019,13,126
Africa,29,2020,128.0,130.0256,38,408
Africa,30,2020,167.5714,71.5119,87,293
Africa,31,2020,235.1429,138.7221,101,511
Africa,32,2020,126.2857,53.1436,18,167
Africa,33,2020,228.8571,102.6782,103,384
Africa,34,2020,261.1429,62.0576,209,378
Africa,35,2020,299.8571,105.7724,196,504
Africa,36,2020,392.5714,131.6775,257,675
Africa,37,2020,445.8571,253.6937,100,723
Africa,38,2020,709.1429,500.436,110,1633
Africa,39,2020,908.0,669.5023,16,1731
Africa,40,2020,993.4286,546.486,12,1501
Africa,41,2020,1545.5714,1620.9083,19,4376
Africa,42,2020,1491.7143,2059.3088,24,5763
Africa,43,2020,1352.5714,910.0318,7,2709
Africa,44,2020,1949.8571,1616.3119,16,4199
Africa,45,2020,1710.4286,1109.067,255,3238
Africa,46,2020,1515.0,422.905,800,2003
Africa,47,2020,1530.2857,793.4834,557,2771
Africa,48,2020,1321.8571,161.0708,1108,1549
Africa,49,2020,1454.5714,927.0043,179,2841
Africa,50,2020,1288.5714,220.4426,984,1527
Africa,51,2020,1611.1429,540.8054,484,2234
Africa,52,2020,1839.4286,256.3668,1476,2330
Africa,53,2020,2149.7143,622.0425,1683,3425
Africa,1,2021,3344.4286,569.2852,2379,3917
Africa,2,2021,4008.4286,796.2259,2975,4958
Africa,3,2021,3422.2857,835.7694,2372,4623
Africa,4,2021,2218.0,530.3697,1532,3066
Africa,5,2021,1726.0,640.8357,975,2765
Africa,6,2021,1233.1429,359.1715,808,1740
Africa,7,2021,1143.2857,571.6796,747,2396
Africa,8,2021,1130.8571,695.2916,665,2393
Africa,9,2021,1246.0,809.3448,595,2783
Africa,10,2021,1060.4286,709.2999,590,2507
Africa,11,2021,914.1429,450.7155,304,1627
Africa,12,2021,1282.4286,638.6937,617,2302
Africa,13,2021,1894.1429,626.7927,1032,2915
Africa,14,2021,2137.7143,604.1991,1579,3073
Africa,15,2021,2348.1429,569.1682,1571,3333
Africa,16,2021,2555.4286,708.3125,1792,3626
Africa,17,2021,1964.0,902.8006,1065,3802
Africa,18,2021,1680.8571,496.8398,1231,2548
Africa,19,2021,1196.2857,621.2607,571,2316
Africa,20,2021,1687.8571,632.3199,1078,2592
Africa,21,2021,1880.2857,629.5061,1125,2814
Africa,22,2021,2139.1429,642.4369,1503,3161
Africa,23,2021,2660.0,785.4754,1526,3822
Africa,24,2021,2985.5714,899.9605,1926,4540
Africa,25,2021,4877.5714,1205.8951,2884,6470
Africa,26,2021,7111.7143,1605.8254,4944,9911
Africa,27,2021,10375.2857,1964.5319,7504,12118
Africa,28,2021,11010.4286,3190.4964,6441,16389
Africa,29,2021,7338.4286,2897.5978,2472,10426
Africa,30,2021,7147.0,2767.6347,3434,10678
Africa,31,2021,5943.2857,3091.4064,3354,11261
Africa,32,2021,5110.0,4099.4145,504,11801
Africa,33,2021,4856.0,1597.7316,3361,7527
Africa,34,2021,4731.1429,1993.6273,1839,6905
Africa,35,2021,3371.4286,1406.0123,1954,5443
Africa,36,2021,2656.7143,1230.3877,1285,4199
Africa,37,2021,3896.2857,4266.2673,903,11510
Africa,38,2021,1775.8571,1316.8019,105,3650
Africa,39,2021,1107.2857,1004.5499,35,2477
Africa,40,2021,710.4286,742.6823,159,2360
Africa,41,2021,500.1429,280.7041,168,924
Africa,42,2021,724.0,786.5946,188,2242
Africa,43,2021,1278.1429,278.693,916,1789
Africa,44,2021,2122.4286,2163.7051,250,6867
Africa,45,2021,2292.0,1060.044,1449,4601
Africa,46,2021,1759.1429,656.5388,1248,3078
Africa,47,2021,1098.0,1060.147,316,3193
Africa,48,2021,1363.7143,733.878,546,2802
Africa,49,2021,5609.5714,3362.815,241,9418
Africa,50,2021,5163.2857,4160.5633,57,10176
Africa,51,2021,4177.2857,4254.2283,605,11117
Africa,52,2021,4608.7143,3585.1332,477,11844
Africa,1,2022,6212.0,4291.2896,2668,13141
Africa,2,2022,9386.4286,7599.6712,443,24112
Africa,3,2022,15201.4286,16206.6452,75,48955
Africa,4,2022,20550.0,19067.9187,1085,57524
Africa,5,2022,14935.2857,14523.4256,5678,46828
Africa,6,2022,10446.7143,11921.3001,4149,37231
Africa,7,2022,9272.4286,8984.1203,3079,28887
Africa,8,2022,6581.2857,5375.2958,2921,18465
Africa,9,2022,3569.7143,4185.3691,190,12679
Africa,10,2022,6707.4286,7474.3542,957,19742
Africa,11,2022,3168.7143,4829.904,0,11558
Africa,12,2022,3639.0,4852.7003,0,11878
Africa,13,2022,8619.0,17865.6813,44,47859
Africa,14,2022,2488.5714,6451.4714,0,17119
Africa,15,2022,2548.0,4604.7515,0,12570
Africa,16,2022,2439.2857,5139.4114,0,13955
Africa,17,2022,2008.8571,4831.4314,33,12951
Africa,18,2022,2087.2857,3997.2924,0,10986
Africa,19,2022,1467.5714,3166.6854,0,8580
Africa,20,2022,1232.8571,2136.4632,0,5990
Africa,21,2022,1071.4286,1638.1589,0,4564
Africa,22,2022,754.4286,1176.8353,0,3212
Africa,23,2022,799.1429,1196.1012,0,3039
Africa,24,2022,1053.4286,2226.7568,0,6080
Africa,25,2022,1493.5714,2422.5535,0,6651
Africa,26,2022,1858.0,2122.7747,0,5614
Africa,27,2022,2650.5714,5355.7918,15,14555
Africa,28,2022,3397.1429,7768.8975,0,20931
Africa,29,2022,5002.7143,10242.8928,0,27444
Africa,30,2022,4088.8571,5813.5315,0,14337
Africa,31,2022,2283.2857,2930.1133,0,6098
Africa,32,2022,1942.5714,3479.5809,0,8834
Africa,33,2022,1916.5714,2944.1349,8,8050
Africa,34,2022,1027.7143,2250.7346,0,6092
Africa,35,2022,1403.5714,2666.6289,5,7020
Africa,36,2022,426.4286,732.1994,0,1855
Africa,37,2022,1505.7143,2279.6978,0,6108
Africa,38,2022,264.4286,487.9962,0,1355
Africa,39,2022,431.8571,575.6183,0,1295
Africa,40,2022,94.0,131.7485,0,356
Africa,41,2022,126.1429,228.5676,0,638
Africa,42,2022,199.0,349.5497,0,939
Africa,43,2022,164.1429,264.2678,0,685
Africa,44,2022,237.7143,328.5294,0,836
Africa,45,2022,457.8571,774.1939,0,1908
Africa,46,2022,168.7143,258.1548,0,575
Africa,47,2022,523.1429,1301.4104,0,3470
Africa,48,2022,1191.4286,2230.6808,0,6120
Africa,49,2022,1209.2857,2529.9253,0,6834
Africa,50,2022,1257.5714,1633.1898,0,3831
Africa,51,2022,674.8571,922.5567,0,1981
Africa,52,2022,13.4286,35.5287,0,94
Africa,1,2023,768.8571,1490.51,0,3953
Africa,2,2023,478.2857,574.5342,0,1213
Africa,3,2023,497.5714,952.8141,0,2488
Africa,4,2023,432.7143,652.6425,0,1726
Africa,5,2023,316.8571,553.9108,0,1422
Africa,6,2023,208.5714,322.1303,0,759
Africa,7,2023,246.8571,405.0006,0,1040
Africa,8,2023,116.0,206.8131,0,558
Africa,9,2023,62.8571,89.0364,0,206
Africa,10,2023,236.5,355.1042,0,751
America,4,2020,1.6,1.1402,0,3
America,5,2020,0.5714,0.7868,0,2
America,6,2020,1.1429,1.069,0,3
America,7,2020,0.4286,0.5345,0,1
America,8,2020,1.4286,1.5119,0,4
America,9,2020,8.4286,9.4843,1,26
America,10,2020,90.5714,63.2135,28,182
America,11,2020,510.5714,311.7284,110,928
America,12,2020,5435.4286,3230.2215,1876,10665
America,13,2020,17483.5714,4783.4686,12133,24656
America,14,2020,33511.4286,5046.0794,24435,39547
America,15,2020,36621.8571,4007.185,30819,41975
America,16,2020,35104.2857,3078.7626,31765,41266
America,17,2020,40250.7143,6387.5541,33095,51692
America,18,2020,40753.5714,5110.8234,34205,49517
America,19,2020,41672.5714,5129.8524,32547,46963
America,20,2020,43793.1429,7967.8915,31943,52482
America,21,2020,54156.7143,5487.8854,46273,59533
America,22,2020,60235.5714,12404.529,46544,81628
America,23,2020,64629.1429,10795.8517,49399,76070
America,24,2020,65291.0,8918.5829,47882,75200
America,25,2020,78883.7143,24248.6429,45382,113146
America,26,2020,93599.7143,18269.8204,55113,113689
America,27,2020,105427.5714,14179.1717,79267,120003
America,28,2020,116419.1429,16820.3058,85802,134432
America,29,2020,120257.0,13839.8526,101256,136959
America,30,2020,133745.2857,25532.2656,95014,157797
America,31,2020,133324.5714,16496.6737,108517,149607
America,32,2020,126905.5714,23857.4046,82132,144625
America,33,2020,123832.5714,25833.1871,83978,157886
America,34,2020,108511.1429,18450.0315,78818,123346
America,35,2020,107900.7143,19866.9761,74756,125052
America,36,2020,108432.8571,19188.8203,66798,125712
America,37,2020,92685.0,22203.375,59676,118514
America,38,2020,100682.4286,15337.6709,80464,122138
America,39,2020,97452.0,18846.8346,71872,120012
America,40,2020,97365.2857,20327.4547,59460,118029
America,41,2020,109201.7143,12861.0289,81337,118058
America,42,2020,105308.4286,21994.8496,72888,131482
America,43,2020,124776.7143,16470.8201,98643,144596
America,44,2020,133613.5714,19779.0968,107980,155601
America,45,2020,160472.5714,23538.4705,112557,181979
America,46,2020,205220.4286,31199.9668,157228,248229
America,47,2020,228534.2857,30255.7873,185336,270418
America,48,2020,232805.8571,37988.0833,183261,285230
America,49,2020,272619.0,40160.3191,207825,316218
America,50,2020,291060.0,34677.1929,237064,325323
America,51,2020,302656.1429,39399.9823,240749,347058
America,52,2020,253634.5714,54281.4328,176376,304713
America,53,2020,296477.8571,65462.7358,231446,416091
America,1,2021,348202.0,67426.9018,248600,424529
America,2,2021,324446.7143,46947.5877,245414,383754
America,3,2021,270371.7143,46774.3414,202383,317369
America,4,2021,243998.5714,43790.5338,170930,281087
America,5,2021,201746.0,30054.6395,149520,239231
America,6,2021,171710.8571,27861.6228,132529,199117
America,7,2021,143754.5714,25135.3467,101389,166239
America,8,2021,154968.2857,35339.7416,101324,184476
America,9,2021,157824.2857,21405.9587,116677,179617
America,10,2021,153119.4286,31964.8499,107596,184790
America,11,2021,165432.7143,33172.1084,120487,200279
America,12,2021,183034.1429,38021.6113,129840,219324
America,13,2021,172898.0,40403.5149,111656,220551
America,14,2021,201830.0,43596.6603,135152,247991
America,15,2021,194393.4286,41469.2886,126122,241564
America,16,2021,177560.0,34095.0312,112397,208876
America,17,2021,165025.2857,37252.0495,105807,202964
America,18,2021,155345.2857,33144.507,90421,182263
America,19,2021,152229.2857,33675.4928,102491,191024
America,20,2021,156449.2857,33155.0713,104806,186975
America,21,2021,141666.7143,31874.6854,91863,174064
America,22,2021,136832.7143,35220.9832,84258,185673
America,23,2021,134249.1429,35373.759,80039,174892
America,24,2021,131269.5714,31399.2958,82473,164513
America,25,2021,126158.2857,39749.3986,67396,177202
America,26,2021,105168.7143,26864.7649,60292,138367
America,27,2021,108176.2857,32562.1701,59633,147787
America,28,2021,117928.7143,37172.219,61552,169755
America,29,2021,141856.4286,60520.2655,76284,263565
America,30,2021,164489.7143,59331.8568,94732,282914
America,31,2021,192301.5714,82194.597,78804,350827
America,32,2021,207753.7143,74480.4273,79931,313093
America,33,2021,228106.8571,79432.866,84623,329148
America,34,2021,223070.2857,80739.0957,83913,313365
America,35,2021,225729.4286,75444.7419,100376,303593
America,36,2021,197579.1429,79822.4088,76998,283718
America,37,2021,209988.4286,59545.5855,84963,274289
America,38,2021,168073.0,55906.1012,89334,226976
America,39,2021,146400.1429,52949.2556,63983,200485
America,40,2021,130657.5714,46316.9366,65361,176233
America,41,2021,109340.1429,37715.5703,48996,142409
America,42,2021,98023.8571,36776.6888,32718,128131
America,43,2021,99589.5714,34672.3426,48362,136685
America,44,2021,96579.7143,29349.1069,53557,126103
America,45,2021,104909.5714,40760.3162,49399,172914
America,46,2021,115471.8571,38061.2353,58269,150978
America,47,2021,96500.0,41729.6157,46926,157808
America,48,2021,145915.2857,48859.4843,73746,201424
