Province/State,Country/Region,Year,Month,Slope_regression,Lat,Long,Rank,prediction
Hubei,China,2020,1,114.3879,30.9756,112.2707,1,1
Zhejiang,China,2020,1,13.9394,29.1832,120.0934,2,0
Guangdong,China,2020,1,8.1576,23.3417,113.4244,3,0
Henan,China,2020,1,8.1212,37.8957,114.9042,4,0
Hunan,China,2020,1,7.3212,27.6104,111.7088,5,0
Jiangxi,China,2020,1,6.6303,27.614,115.7221,6,0
Anhui,China,2020,1,5.0242,31.8257,117.2264,7,3
Jiangsu,China,2020,1,4.1818,32.9711,119.455,8,3
Sichuan,China,2020,1,3.4848,30.6171,102.7103,9,3
Shandong,China,2020,1,3.3212,36.3427,118.1498,10,3
Chongqing,China,2020,1,2.4788,30.0572,107.874,11,3
Hebei,China,2020,1,2.1818,39.549,116.1306,12,3
Shanghai,China,2020,1,1.9697,31.202,121.4491,13,3
Fujian,China,2020,1,1.7818,26.0789,117.9874,14,3
Shaanxi,China,2020,1,1.7758,35.1917,108.8701,15,3
Yunnan,China,2020,1,1.7394,24.974,101.487,16,3
Heilongjiang,China,2020,1,1.2061,47.862,127.7615,17,2
Guizhou,China,2020,1,0.9394,26.8154,106.8748,18,2
Guangxi,China,2020,1,0.8424,23.8298,108.7881,19,2
Shanxi,China,2020,1,0.6727,37.5777,112.2922,20,2
Beijing,China,2020,1,0.5879,40.1824,116.4142,21,2
Ningxia,China,2020,1,0.4424,37.2692,106.1655,22,2
Gansu,China,2020,1,0.3939,35.7518,104.2861,23,2
Liaoning,China,2020,1,0.3394,41.2956,122.6085,24,2
Unknown,Japan,2020,1,0.3212,36.2048,138.2529,25,2
Unknown,"Korea, South",2020,1,0.297,35.9078,127.7669,26,2
Xinjiang,China,2020,1,0.2848,41.1129,85.2401,27,2
Unknown,Singapore,2020,1,0.2242,1.2833,103.8333,28,2
Inner Mongolia,China,2020,1,0.1697,44.0935,113.9448,29,2
Jilin,China,2020,1,0.1697,43.6661,126.1923,30,2
Hainan,China,2020,1,0.1697,19.1959,109.7453,31,2
Unknown,United Arab Emirates,2020,1,0.1212,23.4241,53.8478,32,2
Queensland,Australia,2020,1,0.1152,-27.4698,153.0251,33,2
Unknown,Germany,2020,1,0.1152,51.1657,10.4515,34,2
Unknown,Russia,2020,1,0.1091,61.524,105.3188,35,2
Unknown,Italy,2020,1,0.1091,41.8719,12.5674,36,2
Unknown,United Kingdom,2020,1,0.1091,55.3781,-3.436,37,2
Unknown,Thailand,2020,1,0.103,15.87,100.9925,38,2
Qinghai,China,2020,1,0.097,35.7452,95.9956,39,2
Victoria,Australia,2020,1,0.0909,-37.8136,144.9631,40,2
Unknown,Malaysia,2020,1,0.0606,4.2105,101.9758,41,2
Unknown,Philippines,2020,1,0.0424,12.8797,121.774,42,2
Unknown,India,2020,1,0.0424,20.5937,78.9629,43,2
Tibet,China,2020,1,0.0424,31.6927,88.0924,44,2
Unknown,US,2020,1,0.0364,40.0,-100.0,45,2
Unknown,Taiwan*,2020,1,0.0364,23.7,121.0,46,2
Unknown,Finland,2020,1,0.0303,61.9241,25.7482,47,2
British Columbia,Canada,2020,1,0.0182,53.7267,-127.6476,48,2
Hong Kong,China,2020,1,0.0121,22.3,114.2,49,2
Unknown,Cambodia,2020,1,0.0061,11.55,104.9167,50,2
Unknown,"Korea, South",2020,2,17.3773,35.9078,127.7669,1,1
Unknown,Italy,2020,2,6.3951,41.8719,12.5674,2,2
Unknown,Iran,2020,2,3.5852,32.4279,53.688,3,3
Unknown,Japan,2020,2,0.7227,36.2048,138.2529,4,0
Unknown,France,2020,2,0.5438,46.2276,2.2137,5,0
Unknown,Germany,2020,2,0.2631,51.1657,10.4515,6,0
Unknown,Spain,2020,2,0.2581,40.4637,-3.7492,7,0
Unknown,Kuwait,2020,2,0.2483,29.3117,47.4818,8,0
Unknown,Bahrain,2020,2,0.2207,26.0275,50.55,9,0
Unknown,United Kingdom,2020,2,0.166,55.3781,-3.436,10,0
Unknown,Switzerland,2020,2,0.1153,46.8182,8.2275,11,0
