Province/State,Country/Region,Lat,Long,Slope_regression,Rank
Unknown,Japan,36.204824,138.252924,94.19123077392578,1
Unknown,"Korea, South",35.907757,127.766922,72.67960357666016,2
Unknown,Germany,51.165691,10.451526,65.83472442626953,3
Unknown,France,46.2276,2.2137,52.144168853759766,4
Unknown,US,40.0,-100.0,44.69619369506836,5
Unknown,Italy,41.87194,12.56738,36.660850524902344,6
Unknown,Taiwan*,23.7,121.0,30.030702590942383,7
Unknown,Vietnam,14.058324,108.277199,18.312957763671875,8
Unknown,Russia,61.52401,105.318756,16.46443748474121,9
Unknown,United Kingdom,55.3781,-3.436,15.647806167602539,10
Unknown,Greece,39.0742,21.8243,9.716004371643066,11
Unknown,Austria,47.5162,14.5501,9.637604713439941,12
New South Wales,Australia,-33.8688,151.2093,8.073774337768555,13
Hong Kong,China,22.3,114.2,7.889820575714111,14
Unknown,Turkey,38.9637,35.2433,7.294281005859375,15
Unknown,Netherlands,52.1326,5.2913,6.953956604003906,16
Unknown,Spain,40.463667,-3.74922,6.467311382293701,17
Unknown,Portugal,39.3999,-8.2245,6.272705554962158,18
Victoria,Australia,-37.8136,144.9631,5.78529691696167,19
Unknown,New Zealand,-40.9006,174.886,5.520522594451904,20
Unknown,Chile,-35.6751,-71.543,4.959192752838135,21
Unknown,Switzerland,46.8182,8.2275,4.916270732879639,22
Unknown,Thailand,15.870032,100.992541,4.892772674560547,23
Unknown,Singapore,1.2833,103.8333,4.460320949554443,24
Unknown,Israel,31.046051,34.851612,4.2254862785339355,25
Unknown,Malaysia,4.210484,101.975766,4.109665870666504,26
Unknown,Denmark,56.2639,9.5018,4.062434196472168,27
Queensland,Australia,-27.4698,153.0251,3.7919504642486572,28
Unknown,Belgium,50.8333,4.469936,3.458871603012085,29
Western Australia,Australia,-31.9505,115.8605,3.1199660301208496,30
Unknown,Mexico,23.6345,-102.5528,2.7034621238708496,31
Unknown,Finland,61.92411,25.748151,2.476304292678833,32
South Australia,Australia,-34.9285,138.6007,2.026035785675049,33
Unknown,Czechia,49.8175,15.473,1.6268848180770874,34
Unknown,Serbia,44.0165,21.0059,1.6103477478027344,35
Unknown,Norway,60.472,8.4689,1.6022807359695435,36
Unknown,Slovenia,46.1512,14.9955,1.53035306930542,37
Unknown,Ireland,53.1424,-7.6921,1.3973748683929443,38
Unknown,Slovakia,48.669,19.699,1.3764371871948242,39
Unknown,Indonesia,-0.7893,113.9213,1.3006997108459473,40
Unknown,Romania,45.9432,24.9668,1.230055809020996,41
Unknown,Georgia,42.3154,43.3569,1.1782448291778564,42
Unknown,Latvia,56.8796,24.6032,1.176506757736206,43
Unknown,Lithuania,55.1694,23.8813,1.1217505931854248,44
Ontario,Canada,51.2538,-85.3232,1.054710030555725,45
Unknown,Guatemala,15.7835,-90.2308,1.0412867069244385,46
